id_source,id_target,fake_news_shared_by_source,fake_news_shared_by_target,real_news_shared_by_source,real_news_shared_by_target
52,4276,0,2,1,0
52,7048,0,0,1,1
52,7962,0,0,1,1
52,8265,0,0,1,1
52,8362,0,1,1,1
52,9255,0,1,1,0
52,11006,0,0,1,1
52,11682,0,0,1,1
52,12874,0,1,1,0
52,13105,0,2,1,0
52,13111,0,0,1,2
52,14860,0,0,1,1
63,4378,0,0,1,1
63,5714,0,0,1,6
7549,63,1,0,0,1
8135,63,0,0,1,1
10181,63,0,0,1,1
63,11266,0,1,1,0
63,12129,0,0,1,1
12672,63,0,0,1,1
63,15070,0,0,1,1
2734,67,0,0,1,3
2972,67,0,0,1,3
5680,67,2,0,0,3
12672,67,0,0,1,3
78,1373,1,2,0,0
78,2335,1,1,0,0
2734,78,0,1,1,0
6183,78,0,1,1,0
82,1110,2,0,0,13
6183,85,0,1,1,0
11843,107,2,11,0,0
1594,109,0,2,1,0
109,4808,2,1,0,0
8694,109,0,2,3,0
789,114,1,0,0,1
830,114,2,0,0,1
2260,114,0,0,1,1
3887,114,3,0,0,1
7549,114,1,0,0,1
10952,114,1,0,0,1
115,10432,1,1,0,0
11843,115,2,1,0,0
740,120,1,1,0,0
1973,120,1,1,0,0
4867,120,0,1,1,0
7549,120,1,1,0,0
11337,120,1,1,0,0
11940,120,0,1,1,0
393,121,1,1,0,0
621,121,1,1,0,0
1830,121,0,1,1,0
2160,121,1,1,0,0
3306,121,5,1,0,0
3333,121,4,1,0,0
3603,121,0,1,1,0
3937,121,0,1,1,0
4276,121,2,1,0,0
4867,121,0,1,1,0
5015,121,1,1,0,0
5147,121,2,1,0,0
5401,121,0,1,1,0
121,5552,1,3,0,0
6702,121,1,1,0,0
6821,121,0,1,1,0
6869,121,0,1,3,0
7021,121,0,1,1,0
7048,121,0,1,1,0
7178,121,0,1,2,0
7859,121,1,1,0,0
7950,121,0,1,1,0
8362,121,1,1,1,0
9225,121,0,1,2,0
9877,121,0,1,1,0
121,10549,1,2,0,0
10571,121,0,1,1,0
11940,121,0,1,1,0
121,12593,1,0,0,1
12874,121,1,1,0,0
121,13159,1,1,0,0
13208,121,1,1,0,0
121,13335,1,1,0,0
121,13356,1,1,0,0
13522,121,0,1,1,0
121,14315,1,1,0,0
15073,121,1,1,0,0
789,132,1,2,0,1
4084,132,0,2,1,1
7337,132,0,2,1,1
7970,132,0,2,1,1
11859,132,0,2,1,1
13263,132,0,2,1,1
133,656,1,4,4,0
1380,133,1,1,1,4
2734,133,0,1,1,4
4378,133,0,1,1,4
133,8198,1,0,4,1
9368,133,1,1,0,4
12257,133,1,1,0,4
2972,134,0,0,1,3
6183,134,0,0,1,3
8135,134,0,0,1,3
11843,134,2,0,0,3
12672,134,0,0,1,3
656,140,4,1,0,0
1380,140,1,1,1,0
140,2019,1,1,0,0
140,2313,1,0,0,1
2350,140,0,1,1,0
2972,140,0,1,1,0
6183,140,0,1,1,0
140,6221,1,1,0,0
1380,143,1,0,1,1
143,1551,0,2,1,0
143,4615,0,0,1,1
143,5102,0,0,1,1
11266,143,1,0,0,1
143,11911,0,0,1,1
2972,157,0,1,1,0
8135,157,0,1,1,0
9196,157,1,1,0,0
11843,157,2,1,0,0
1566,164,0,0,1,1
2734,164,0,0,1,1
5491,164,1,0,0,1
164,6490,0,0,1,1
1008,169,0,1,1,0
169,2019,1,1,0,0
2405,169,0,1,1,0
2737,169,1,1,0,0
4520,169,0,1,1,0
169,4766,1,1,0,0
169,4769,1,1,0,0
169,4879,1,0,0,1
169,5356,1,0,0,2
169,5903,1,0,0,1
169,6177,1,1,0,0
169,7178,1,0,0,2
10500,169,0,1,1,0
169,10690,1,3,0,0
169,12831,1,0,0,1
169,13466,1,1,0,0
1380,172,1,1,1,0
2734,172,0,1,1,0
2934,172,1,1,0,0
4378,172,0,1,1,0
5680,172,2,1,0,0
6183,172,0,1,1,0
7970,172,0,1,1,0
8135,172,0,1,1,0
8329,172,1,1,0,0
11266,172,1,1,0,0
11843,172,2,1,0,0
12257,172,1,1,0,0
13690,172,1,1,0,0
686,182,0,0,1,5
830,182,2,0,0,5
946,182,2,0,0,5
1172,182,1,0,0,5
2196,182,1,0,0,5
182,3029,0,0,5,1
3549,182,1,0,0,5
4228,182,0,0,1,5
4251,182,1,0,0,5
4520,182,0,0,1,5
4596,182,0,0,1,5
5015,182,1,0,0,5
5881,182,1,0,0,5
5954,182,0,0,1,5
6059,182,1,0,0,5
6962,182,2,0,0,5
9134,182,0,0,2,5
9596,182,1,0,0,5
182,9712,0,1,5,0
9905,182,1,0,0,5
182,10857,0,0,5,1
10952,182,1,0,0,5
12152,182,1,0,0,5
12497,182,0,0,4,5
12893,182,0,0,1,5
13356,182,1,0,0,5
13364,182,1,0,0,5
13989,182,1,0,0,5
182,15220,0,1,5,0
31,187,0,1,1,0
740,187,1,1,0,0
789,187,1,1,0,0
830,187,2,1,0,0
1068,187,1,1,0,0
187,1598,1,0,0,2
187,2156,1,0,0,1
2260,187,0,1,1,0
2278,187,1,1,0,0
2330,187,3,1,0,0
2399,187,0,1,1,0
4520,187,0,1,1,0
5147,187,2,1,0,0
5680,187,2,1,0,0
6821,187,0,1,1,0
7549,187,1,1,0,0
7970,187,0,1,1,0
7991,187,2,1,0,0
10736,187,1,1,0,0
11337,187,1,1,0,0
12252,187,1,1,0,0
12672,187,0,1,1,0
12956,187,0,1,13,0
187,13014,1,0,0,1
2872,190,1,0,0,1
2934,190,1,0,0,1
2972,190,0,0,1,1
6183,190,0,0,1,1
8135,190,0,0,1,1
11843,190,2,0,0,1
13690,190,1,0,0,1
1566,191,0,2,1,0
2734,191,0,2,1,0
6039,191,0,2,1,0
6546,191,1,2,0,0
8694,191,0,2,3,0
10776,191,1,2,0,0
11750,191,0,2,1,0
789,200,1,0,0,1
7423,200,1,0,0,1
7970,200,0,0,1,1
740,206,1,1,0,0
789,206,1,1,0,0
2129,206,0,1,1,0
5680,206,2,1,0,0
6183,206,0,1,1,0
11843,206,2,1,0,0
12672,206,0,1,1,0
789,207,1,1,0,0
1112,207,0,1,1,0
1183,207,0,1,1,0
1973,207,1,1,0,0
2596,207,0,1,6,0
2986,207,0,1,1,0
3212,207,1,1,0,0
3577,207,1,1,0,0
4251,207,1,1,0,0
207,4890,1,1,0,0
5401,207,0,1,1,0
5452,207,0,1,3,0
7242,207,0,1,1,0
7337,207,0,1,1,0
8717,207,0,1,1,0
207,9316,1,1,0,0
11337,207,1,1,0,0
13807,207,0,1,1,0
789,214,1,0,0,1
789,234,1,1,0,0
10,240,3,0,0,1
240,960,0,0,1,1
240,1068,0,1,1,0
240,1183,0,0,1,1
240,1544,0,0,1,5
240,3110,0,1,1,0
240,3457,0,1,1,0
240,4431,0,0,1,1
240,4992,0,1,1,0
240,5147,0,2,1,0
240,6693,0,1,1,0
240,7024,0,0,1,1
240,7188,0,1,1,0
7746,240,1,0,0,1
8133,240,0,0,1,1
8338,240,0,0,4,1
240,10110,0,2,1,0
240,10359,0,0,1,1
240,10643,0,0,1,1
240,10690,0,3,1,0
240,10726,0,1,1,0
240,10737,0,0,1,7
240,11313,0,3,1,0
240,12030,0,0,1,1
240,12874,0,1,1,0
240,13364,0,1,1,0
240,14762,0,0,1,3
240,14855,0,2,1,0
1068,250,1,1,0,0
4596,250,0,1,1,0
5858,250,0,1,2,0
7549,250,1,1,0,0
7962,250,0,1,1,0
10270,250,0,1,1,0
11676,250,3,1,0,0
8135,251,0,1,1,0
254,584,1,1,1,0
254,1008,1,0,1,1
254,1068,1,1,1,0
254,2196,1,1,1,0
254,2908,1,1,1,0
254,3519,1,10,1,2
254,3592,1,0,1,1
254,3802,1,0,1,1
254,5858,1,0,1,2
254,6570,1,1,1,0
254,7048,1,0,1,1
254,7337,1,0,1,1
254,7433,1,0,1,1
254,7962,1,0,1,1
254,7970,1,0,1,1
254,8265,1,0,1,1
8972,254,0,1,1,1
254,9905,1,1,1,0
254,11676,1,3,1,0
254,12030,1,0,1,1
254,12701,1,1,1,0
254,12874,1,1,1,0
254,13111,1,0,1,2
1566,264,0,0,1,1
264,4830,0,1,1,0
7480,264,0,0,1,1
8135,264,0,0,1,1
8694,264,0,0,3,1
264,10262,0,1,1,0
264,12860,0,0,1,1
12984,264,0,0,1,1
264,14898,0,1,1,0
6183,266,0,1,1,0
2934,271,1,2,0,0
271,4123,2,0,0,1
5680,271,2,2,0,0
6183,271,0,2,1,0
6693,271,1,2,0,0
6719,271,1,2,0,0
8135,271,0,2,1,0
8844,271,1,2,0,0
12672,271,0,2,1,0
2972,281,0,0,1,1
4123,281,0,0,1,1
11843,281,2,0,0,1
12672,281,0,0,1,1
2260,282,0,1,1,0
2972,282,0,1,1,0
5075,282,0,1,1,0
5680,282,2,1,0,0
282,8548,1,0,0,1
11843,282,2,1,0,0
12672,282,0,1,1,0
306,1296,1,0,0,4
1566,306,0,1,1,0
4532,306,0,1,1,0
4822,306,4,1,0,0
4830,306,1,1,0,0
6039,306,0,1,1,0
8119,306,0,1,1,0
8548,306,0,1,1,0
8694,306,0,1,3,0
10776,306,1,1,0,0
11571,306,0,1,2,0
11750,306,0,1,1,0
12075,306,1,1,0,0
12984,306,0,1,1,0
306,13074,1,1,0,0
13635,306,4,1,0,0
11843,313,2,4,0,0
36,345,2,1,0,0
345,584,1,1,0,0
345,830,1,2,0,0
345,1568,1,0,0,1
345,2737,1,1,0,0
345,3671,1,1,0,0
345,4276,1,2,0,0
345,4677,1,1,0,0
345,5401,1,0,0,1
345,6641,1,0,0,1
345,6984,1,0,0,1
345,7753,1,1,0,0
345,7963,1,0,0,1
345,7970,1,0,0,1
345,9905,1,1,0,0
345,10178,1,0,0,13
345,10270,1,0,0,1
345,10736,1,1,0,0
345,11608,1,5,0,6
345,12144,1,1,0,0
345,13095,1,1,0,0
345,13807,1,0,0,1
345,13817,1,1,0,0
345,14285,1,1,0,0
1024,347,1,0,0,1
2866,347,1,0,0,1
3404,347,1,0,0,1
3592,347,0,0,1,1
347,4879,0,0,1,1
6821,347,0,0,1,1
7242,347,0,0,1,1
8972,347,0,0,1,1
10690,347,3,0,0,1
347,11132,0,2,1,0
347,12609,0,1,1,0
1163,349,8,1,0,0
9596,349,1,1,0,0
2972,352,0,1,1,0
2972,354,0,0,1,1
5680,354,2,0,0,1
8135,354,0,0,1,1
740,358,1,0,0,1
789,358,1,0,0,1
1973,358,1,0,0,1
7337,358,0,0,1,1
9903,358,0,0,1,1
9905,358,1,0,0,1
12330,358,0,0,2,1
13986,358,0,0,1,1
2069,361,1,1,0,0
2734,361,0,1,1,0
6183,361,0,1,1,0
8135,361,0,1,1,0
8694,361,0,1,3,0
13635,361,4,1,0,0
365,743,0,0,1,1
834,365,0,0,1,1
1380,365,1,0,1,1
6039,365,0,0,1,1
8646,365,0,0,2,1
8694,365,0,0,3,1
365,10117,0,1,1,0
789,376,1,0,0,1
2972,376,0,0,1,1
5954,376,0,0,1,1
7970,376,0,0,1,1
11843,376,2,0,0,1
740,386,1,1,0,0
5680,386,2,1,0,0
11843,386,2,1,0,0
31,390,0,1,1,0
789,390,1,1,0,0
390,2260,1,0,0,1
390,3887,1,3,0,0
7549,390,1,1,0,0
12956,390,0,1,13,0
3887,391,3,0,0,1
393,121,1,1,0,0
393,584,1,1,0,0
393,648,1,0,0,1
393,830,1,2,0,0
393,1008,1,0,0,1
393,1024,1,1,0,0
393,1068,1,1,0,0
393,2196,1,1,0,0
393,2582,1,2,0,0
393,2878,1,1,0,0
393,3320,1,0,0,1
393,3857,1,1,0,0
393,3986,1,1,0,0
5015,393,1,1,0,0
393,5452,1,0,0,3
393,7337,1,0,0,1
393,9034,1,2,0,0
393,10270,1,0,0,1
393,11328,1,1,0,0
393,12874,1,1,0,0
393,12956,1,0,0,13
393,13648,1,0,0,1
393,13989,1,1,0,0
393,14860,1,0,0,1
5680,398,2,2,0,0
6183,398,0,2,1,0
11843,399,2,0,0,9
401,6186,1,0,0,2
401,12461,1,0,0,1
789,404,1,2,0,0
830,404,2,2,0,0
413,11502,0,0,1,1
10568,416,0,0,1,1
789,423,1,0,0,1
6693,425,1,0,0,1
11843,425,2,0,0,1
12276,425,1,0,0,1
1825,426,1,0,0,1
1380,427,1,0,1,1
2972,427,0,0,1,1
8135,427,0,0,1,1
11843,427,2,0,0,1
432,2699,3,1,0,0
432,5625,3,0,0,1
6527,432,1,3,0,0
432,6683,3,1,0,0
432,14443,3,3,0,0
14883,432,0,3,1,0
437,10,1,3,0,0
437,45,1,1,0,0
437,730,1,0,0,1
437,762,1,2,0,0
437,1135,1,1,0,0
437,1483,1,2,0,0
437,1487,1,1,0,0
437,1611,1,2,0,0
437,1694,1,0,0,1
437,1916,1,0,0,1
437,2207,1,1,0,0
437,2288,1,0,0,1
437,2360,1,1,0,0
437,2849,1,0,0,1
437,2907,1,3,0,0
437,2965,1,0,0,1
437,3058,1,1,0,0
3203,437,0,1,1,0
437,3383,1,1,0,1
437,3443,1,0,0,1
437,3457,1,1,0,0
437,3717,1,0,0,1
437,4064,1,0,0,1
437,4368,1,1,0,0
437,4634,1,2,0,0
437,4831,1,1,0,0
437,4833,1,1,0,0
437,4867,1,0,0,1
437,5016,1,0,0,1
437,5903,1,0,0,1
437,5921,1,1,0,0
437,5963,1,0,0,1
437,6355,1,1,0,0
437,6401,1,0,0,1
437,6472,1,1,0,0
437,6576,1,0,0,1
6821,437,0,1,1,0
437,6869,1,0,0,3
437,6987,1,0,0,1
437,7282,1,1,0,0
437,7828,1,0,0,3
7845,437,0,1,1,0
437,7904,1,0,0,2
437,7964,1,2,0,0
437,7991,1,2,0,0
8053,437,1,1,1,0
437,8293,1,2,0,0
8338,437,0,1,4,0
437,8546,1,1,0,1
437,8609,1,0,0,5
437,8769,1,1,0,0
437,8783,1,0,0,1
437,8823,1,0,0,1
8858,437,1,1,0,0
8972,437,0,1,1,0
437,9105,1,0,0,1
437,9116,1,1,0,0
437,9355,1,0,0,1
437,9869,1,1,0,0
437,9892,1,0,0,1
437,9932,1,0,0,1
437,10368,1,0,0,1
437,10825,1,1,0,0
437,10874,1,0,0,3
437,11027,1,0,0,1
437,11235,1,1,0,0
437,11659,1,0,0,1
437,11707,1,0,0,3
437,11729,1,0,0,1
437,12178,1,0,0,1
437,12283,1,0,0,4
437,12660,1,0,0,1
437,13003,1,0,0,1
437,13059,1,1,0,0
437,13364,1,1,0,0
437,13396,1,0,0,2
437,13462,1,0,0,4
437,13539,1,1,0,0
437,14026,1,1,0,0
437,14047,1,0,0,1
437,14187,1,2,0,0
437,14855,1,2,0,0
437,15073,1,1,0,0
437,15193,1,1,0,0
437,15204,1,1,0,0
789,440,1,0,0,1
830,440,2,0,0,1
3887,440,3,0,0,1
7549,440,1,0,0,1
3887,441,3,1,0,0
2972,443,0,0,1,1
6183,443,0,0,1,1
11843,443,2,0,0,1
921,447,1,1,0,0
447,1413,1,0,0,1
1825,447,1,1,0,0
447,2876,1,0,0,1
2934,447,1,1,0,0
5075,447,0,1,1,0
6183,447,0,1,1,0
8135,447,0,1,1,0
9196,447,1,1,0,0
12672,447,0,1,1,0
2578,448,0,0,1,1
2972,448,0,0,1,1
6221,448,1,0,0,1
11843,448,2,0,0,1
449,1260,0,0,1,2
449,1830,0,0,1,1
449,2499,0,0,1,1
449,2613,0,0,1,1
449,3167,0,1,1,0
449,3671,0,1,1,0
449,3887,0,3,1,0
449,4489,0,4,1,1
449,4596,0,0,1,1
449,4637,0,1,1,0
449,5103,0,0,1,1
449,5452,0,0,1,3
449,5726,0,0,1,3
449,5980,0,0,1,1
449,6920,0,0,1,2
449,6949,0,0,1,5
449,7859,0,1,1,0
8053,449,1,0,1,1
449,8201,0,0,1,1
449,8850,0,1,1,0
449,9208,0,1,1,0
449,9853,0,1,1,0
449,11098,0,0,1,1
449,11328,0,1,1,0
449,11391,0,0,1,1
449,11784,0,0,1,1
449,11887,0,11,1,8
449,12152,0,1,1,0
449,12283,0,0,1,4
449,12490,0,0,1,1
449,12625,0,1,1,0
449,12701,0,1,1,0
449,12964,0,1,1,0
449,13293,0,2,1,0
449,13364,0,1,1,0
449,13391,0,0,1,1
449,13422,0,0,1,1
449,14187,0,2,1,0
449,14551,0,0,1,2
449,14781,0,2,1,1
1183,458,0,0,1,1
2533,458,13,0,1,1
3167,458,1,0,0,1
3986,458,1,0,0,1
4596,458,0,0,1,1
5401,458,0,0,1,1
8265,458,0,0,1,1
9949,458,0,0,1,1
10105,458,6,0,0,1
10311,458,0,0,1,1
11006,458,0,0,1,1
11178,458,1,0,0,1
11331,458,0,0,1,1
11461,458,4,0,0,1
11862,458,1,0,2,1
458,12484,0,3,1,0
14068,458,0,0,2,1
14551,458,0,0,2,1
458,15077,0,1,1,0
8135,462,0,0,1,1
8694,462,0,0,3,1
11843,469,2,1,0,0
470,5646,0,1,1,0
470,5812,0,1,1,0
8294,470,0,0,5,1
470,15026,0,1,1,0
471,3710,0,1,2,0
471,5075,0,0,2,1
11843,471,2,0,0,2
12672,471,0,0,1,2
789,484,1,0,0,1
8135,499,0,1,1,1
2734,521,0,0,1,1
8135,521,0,0,1,1
11843,521,2,0,0,1
12672,521,0,0,1,1
7549,522,1,0,0,5
11843,522,2,0,0,5
1380,533,1,1,1,0
6183,533,0,1,1,0
8135,533,0,1,1,0
8999,533,1,1,0,0
10776,533,1,1,0,0
11817,533,0,1,1,0
11843,533,2,1,0,0
1566,539,0,1,1,1
2069,539,1,1,0,1
2972,539,0,1,1,1
539,4078,1,0,1,1
5204,539,3,1,0,1
6039,539,0,1,1,1
6451,539,0,1,1,1
6527,539,1,1,0,1
7480,539,0,1,1,1
539,8501,1,1,1,0
8694,539,0,1,3,1
9682,539,0,1,1,1
12672,539,0,1,1,1
13473,539,0,1,1,1
6039,546,0,1,1,0
8694,546,0,1,3,0
11750,546,0,1,1,0
2260,551,0,0,1,2
2972,551,0,0,1,2
10432,551,1,0,0,2
11843,551,2,0,0,2
822,565,1,1,0,0
567,2980,0,0,1,2
3200,567,0,0,8,1
5103,567,0,0,1,1
568,789,7,1,0,0
568,830,7,2,0,0
568,1008,7,0,0,1
568,1024,7,1,0,0
568,1068,7,1,0,0
568,2582,7,2,0,0
568,3592,7,0,0,1
568,7337,7,0,0,1
568,8694,7,0,0,3
568,11006,7,0,0,1
568,12672,7,0,0,1
568,13111,7,0,0,2
584,51,1,4,0,4
584,182,1,0,0,5
254,584,1,1,1,0
345,584,1,1,0,0
393,584,1,1,0,0
584,606,1,1,0,0
648,584,0,1,1,0
584,657,1,0,0,3
686,584,0,1,1,0
584,840,1,0,0,1
584,963,1,0,0,1
996,584,2,1,0,0
584,1024,1,1,0,0
1307,584,2,1,0,0
584,1329,1,2,0,0
1580,584,0,1,1,0
584,1705,1,4,0,1
584,1838,1,0,0,1
584,1916,1,0,0,1
2004,584,0,1,1,0
584,2238,1,1,0,0
2371,584,0,1,1,0
584,2398,1,0,0,1
584,2482,1,2,0,0
584,2582,1,2,0,0
584,2596,1,0,0,6
2601,584,1,1,0,0
584,2674,1,0,0,1
2737,584,1,1,0,0
2908,584,1,1,0,0
584,3009,1,0,0,3
584,3051,1,1,0,0
3212,584,1,1,0,0
584,3327,1,0,0,3
3333,584,4,1,0,0
584,3357,1,1,0,0
584,3500,1,3,0,0
584,3549,1,1,0,0
3603,584,0,1,1,0
584,3833,1,0,0,1
3933,584,2,1,0,0
584,4014,1,0,0,1
4047,584,0,1,3,0
4086,584,1,1,0,0
4251,584,1,1,0,0
584,4310,1,4,0,0
584,4424,1,0,0,1
584,4489,1,4,0,1
584,4550,1,4,0,2
584,4596,1,0,0,1
584,4823,1,1,0,0
584,4867,1,0,0,1
584,4879,1,0,0,1
584,4992,1,1,0,0
584,5021,1,0,0,1
584,5236,1,1,0,0
584,5731,1,1,0,1
5881,584,1,1,0,0
5980,584,0,1,1,0
6602,584,0,1,3,0
6745,584,3,1,0,0
584,6803,1,1,0,0
6815,584,0,1,6,0
6821,584,0,1,1,0
6874,584,0,1,1,0
584,6888,1,1,0,0
6961,584,1,1,0,0
6984,584,0,1,1,0
584,7313,1,1,0,0
7335,584,1,1,0,0
7398,584,1,1,0,0
584,7433,1,0,0,1
584,7456,1,1,0,0
7859,584,1,1,0,0
584,8362,1,1,0,1
8717,584,0,1,1,0
8728,584,0,1,1,0
8793,584,2,1,0,0
8850,584,1,1,0,0
8972,584,0,1,1,0
9025,584,0,1,1,0
584,9208,1,1,0,0
9358,584,2,1,0,0
9593,584,0,1,2,0
584,9607,1,1,0,0
9877,584,0,1,1,0
9944,584,1,1,0,0
9949,584,0,1,1,0
584,9969,1,0,0,1
584,10110,1,2,0,0
584,10217,1,3,0,0
10341,584,1,1,0,0
10397,584,1,1,0,0
10500,584,0,1,1,0
10571,584,0,1,1,0
584,10726,1,1,0,0
584,10737,1,0,0,7
584,10800,1,1,0,0
584,10837,1,1,0,0
11006,584,0,1,1,0
584,11225,1,0,0,1
11305,584,1,1,0,0
584,11407,1,2,0,0
11608,584,5,1,6,0
584,11668,1,0,0,1
584,11682,1,0,0,1
584,11973,1,0,0,1
12144,584,1,1,0,0
584,12152,1,1,0,0
584,12283,1,0,0,4
12428,584,1,1,1,0
12516,584,1,1,0,0
584,12537,1,0,0,1
584,12582,1,0,0,1
584,12593,1,0,0,1
12625,584,1,1,0,0
12739,584,4,1,1,0
584,12793,1,1,0,1
584,12964,1,1,0,0
584,13105,1,2,0,0
584,13208,1,1,0,0
584,13336,1,0,0,1
584,13391,1,0,0,1
13540,584,7,1,0,0
13598,584,1,1,0,0
13621,584,2,1,0,0
13648,584,0,1,1,0
584,13761,1,1,0,0
584,13823,1,0,0,1
13901,584,0,1,1,0
584,14187,1,2,0,0
14238,584,0,1,1,0
14369,584,4,1,0,0
14543,584,0,1,1,0
584,14551,1,0,0,2
584,14586,1,1,0,0
584,14683,1,0,0,1
584,14777,1,0,0,1
584,14855,1,2,0,0
584,15015,1,0,0,1
584,15138,1,0,0,1
1380,595,1,1,1,0
4822,595,4,1,0,0
12554,595,0,1,1,0
13635,595,4,1,0,0
437,606,1,1,0,0
584,606,1,1,0,0
822,606,1,1,0,0
4520,606,0,1,1,0
606,5858,1,0,0,2
7242,606,0,1,1,0
606,7433,1,0,0,1
7962,606,0,1,1,0
7970,606,0,1,1,0
606,8705,1,0,0,2
9747,606,1,1,0,0
10270,606,0,1,1,0
606,10364,1,3,0,0
11328,606,1,1,0,0
12625,606,1,1,0,0
13807,606,0,1,1,0
1184,614,0,1,1,0
1933,614,5,1,0,0
614,6210,1,0,0,1
13522,614,0,1,1,0
15070,614,0,1,1,0
620,1362,0,0,1,1
620,2322,0,0,1,1
620,3132,0,1,1,0
620,4866,0,0,1,1
620,5707,0,1,1,1
620,7421,0,1,1,0
620,8365,0,1,1,0
620,9357,0,0,1,1
620,9481,0,0,1,1
620,9680,0,0,1,1
620,9905,0,1,1,0
620,10117,0,1,1,0
620,10691,0,1,1,0
620,12568,0,1,1,0
620,12893,0,0,1,1
620,12943,0,1,1,0
620,13133,0,1,1,0
620,13317,0,0,1,1
